"filename", "language", "JSON", "JavaScript", "vue", "CSS", "SCSS", "JSON with Comments", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/logs/index.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 28, 18, 66
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/logs/index.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/accountModify.vue", "vue", 0, 0, 250, 0, 0, 0, 0, 0, 0, 2, 24, 276
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/changePhoneNumber.vue", "vue", 0, 0, 269, 0, 0, 0, 0, 0, 0, 0, 27, 296
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/changeUserInfo.vue", "vue", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 14, 174
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/login/login.vue", "vue", 0, 0, 353, 0, 0, 0, 0, 0, 0, 4, 33, 390
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/manageResume/manageResume.vue", "vue", 0, 0, 430, 0, 0, 0, 0, 0, 0, 0, 51, 481
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/manageResume/resumeManager.js", "JavaScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 9, 78
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/myResume/expectIndustry/expectIndustry.vue", "vue", 0, 0, 160, 0, 0, 0, 0, 0, 0, 0, 15, 175
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/myResume/expectJob/expectJob.vue", "vue", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 12, 149
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/myResume/myResume.vue", "vue", 0, 0, 203, 0, 0, 0, 0, 0, 0, 9, 23, 235
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/personalCenter.vue", "vue", 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 14, 186
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/privacyPolicy/privacyPolicy.vue", "vue", 0, 0, 112, 0, 0, 0, 0, 0, 0, 1, 20, 133
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/record/DeliveryRecord.vue", "vue", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 13, 159
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/setting/setting.vue", "vue", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 6, 39
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/share/share.vue", "vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 7, 23
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/user.vue", "vue", 0, 0, 184, 0, 0, 0, 0, 0, 0, 3, 20, 207
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/userProtocol/userProtocol.vue", "vue", 0, 0, 67, 0, 0, 0, 0, 0, 0, 1, 14, 82
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/pages/user/wallet/wallet.vue", "vue", 0, 0, 86, 0, 0, 0, 0, 0, 0, 1, 17, 104
"/Users/xiaohongli/Documents/公司/code/awesome-recruit-portal/project.config.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
